amc,Sigla,1991,2000,2010,Amazon
2025,PA,72140,80158,92860,1
2026,PA,14117,21032,25695,1
2027,PA,13246,15783,20443,1
2028,PA,85187,97624,120896,1
2029,PA,51166,57119,63639,1
2030,PA,45452,49769,51893,1
2031,PA,102071,134496,173149,1
2032,PA,17400,17350,21005,1
2033,PA,8338,10632,11381,1
2034,PA,54900,57670,63325,1
2035,PA,15247,20956,28216,1
2036,PA,38672,49094,50074,1
2037,PA,15204,20016,28549,1
2038,PA,25776,34421,44556,1
2039,PA,24362,39529,51319,1
2040,PA,54728,72961,87920,1
2041,PA,20473,24221,25034,1
2042,PA,18969,23098,29062,1
2043,PA,27307,32400,35887,1
2044,PA,41843,52604,58077,1
2045,PA,6668,7681,10037,1
2046,PA,31110,30518,31364,1
2047,PA,116402,157764,153595,1
2048,PA,23262,31198,47086,1
2049,PA,16475,19564,25021,1
2050,PA,29100,25351,27904,1
2051,PA,7331,7693,8115,1
2052,PA,123668,168020,233669,1
2053,PA,25575,27571,28376,1
2054,PA,20087,24718,26605,1
2055,PA,14538,21064,24808,1
2056,PA,18496,20542,26731,1
2057,PA,46951,61334,55462,1
2058,PA,22367,25467,34204,1
2059,PA,9427,11406,13670,1
2060,PA,42307,46490,49333,1
2061,PA,18792,23255,28595,1
2062,PA,67075,95704,141160,1
2063,PA,55968,70375,81589,1
2064,PA,5966,7760,7854,1
2065,PA,38540,40317,38284,1
2066,PA,16500,18694,25999,1
2067,PA,29452,38043,52172,1
2068,PA,26782,27301,29349,1
2069,PA,17132,20623,22679,1
2070,PA,26536,17498,17697,1
2071,PA,19468,24660,40087,1
2072,PA,22670,33449,37421,1
2073,PA,11889,15118,20183,1
2074,PA,4774,5255,8155,1
2075,PA,33329,43227,59466,1
2076,PA,7228,10955,17206,1
2077,PA,17946,20850,23026,1
2078,PA,15923,31218,56153,1
2079,PA,4486,5434,6141,1
2080,PA,17128,19835,26674,1
2081,PA,21126,19630,22156,1
2082,PA,19824,32252,36285,1
2083,PA,24891,34621,91340,1
2084,PA,11619,14245,15060,1
2085,PA,16259,17484,20647,1
2086,PA,32933,41366,51567,1
2087,PA,14926,17664,22904,1
2088,PA,48024,39016,45620,1
2089,PA,17481,19958,23001,1
2090,PA,17707,38435,79297,1
2091,PA,41403,47273,56518,1
2092,PA,31375,25309,33690,1
2093,PA,25339,45201,44789,1
2094,PA,37418,40176,47889,1
2095,AP,182163,311388,444928,1
2096,AP,12768,16528,24425,1
2097,AP,5177,6730,9000,1
2098,AP,21372,37075,52370,1
2099,AP,8911,11986,17032,1
2100,AP,7555,12886,20509,1
2101,AP,51451,80439,101262,1
3001,MA,429814,484696,559010,1
3002,MA,4580,4680,5905,1
3003,MA,44029,44609,54086,1
3004,MA,19587,21291,21851,1
3005,MA,19520,18827,23952,1
3006,MA,20003,8865,11063,1
3007,MA,391622,426001,470292,1
3008,MA,175082,236965,269251,1
3009,MA,10336,10174,10766,1
3010,MA,23102,31292,37932,1
3011,MA,19528,22978,25291,1
3012,MA,10249,10280,13939,1
3013,MA,22205,26630,31563,1
3014,MA,58012,67061,76067,1
3015,MA,33923,29843,31702,1
3016,MA,24826,26366,28488,1
3017,MA,9358,10142,11407,1
3018,MA,40916,44181,54501,1
3019,MA,12038,14293,15886,1
3020,MA,41648,60163,83528,1
3021,MA,13500,15349,17841,1
3022,MA,192100,216240,258258,1
3023,MA,72953,88923,122237,1
3024,MA,23388,22856,31097,1
3025,MA,63514,73507,85664,1
3026,MA,39661,42559,45665,1
3027,MA,21377,19700,20344,1
3028,MA,39291,45819,44539,1
3029,MA,40572,47969,51358,1
3030,MA,48090,60812,70668,1
3031,MA,22856,24126,27013,1
3032,MA,21142,21446,22899,1
3033,MA,53249,54662,53163,1
3034,MA,18730,21977,26229,1
3035,MA,16018,13405,18338,1
3036,MA,32403,38726,45713,1
3037,MA,118230,140286,162902,1
3038,MA,24665,23991,23959,1
3039,MA,145725,154590,172367,1
3040,MA,15104,16173,16327,1
3041,MA,16856,20191,22105,1
3042,MA,56862,61322,73350,1
3043,MA,39669,42214,46750,1
3044,MA,35164,40858,47658,1
3045,MA,41332,42867,43592,1
3046,MA,19726,21956,22681,1
3047,MA,7539,9413,10649,1
3048,MA,30567,32295,30499,1
3049,MA,23031,26954,40260,1
3050,MA,28058,28526,28335,1
3051,MA,12428,15205,16531,1
3052,MA,15570,14596,15098,1
3053,MA,16533,16790,17482,1
3054,MA,10267,9100,10205,1
3055,MA,22743,23200,26247,1
3056,MA,34404,39562,40944,1
3057,MA,5891,6080,6140,1
3058,MA,12360,12641,12081,1
3059,MA,20071,21266,26189,1
3060,MA,20679,21489,25145,1
3061,MA,42853,42772,62110,1
3062,MA,15267,14609,15433,1
3063,MA,19276,9833,10729,1
3064,MA,53981,56732,63082,1
3065,MA,19521,22552,23654,1
3066,MA,9465,10024,11390,1
3067,MA,11495,13021,17587,1
3068,MA,10607,11799,15150,1
